baitID	oeID	naive	day1	day3	day5	day7	day10	day14	primed	DE	NE	dtw_trans_cl3	dtw_trans_cl4	dtw_trans_cl5	dtw_trans_cl6	dtw_trans_cl7	dtw_trans_cl8
3610	3530	0	0	0	2.40948971427355	0	0	0	0	0	0	2	2	5	5	4	4
3559	3540	0	0.834718579590599	2.78172830297757	0	1.5581406279809	0	0	2.52828738720246	2.18445638654676	0.715931487192408	2	2	5	5	4	8
3584	3540	1.05282954747174	0	1.58491030194764	2.50744297364224	0	1.04679989477791	1.71961379209475	0.998569804418342	0	0	2	1	3	4	2	4
3668	3560	0	0	2.45360953818848	0	1.29990492254099	1.99824720902617	0	0	2.48455813282747	1.91165935790271	2	1	5	5	4	4
3581	3568	1.4857060101282	1.11391944649915	1.70506304381119	1.21893355232594	2.08283616148436	1.69352944644769	2.11792650717093	3.02113375572379	1.34556245009664	2.00507686369397	3	3	2	3	5	5
3582	3568	1.44081236444321	1.2085914995453	0.173138726872036	1.03558994421972	2.25748269000671	1.70063531932157	1.98331649888139	2.35758558151736	1.03888172838298	1.30900508791604	3	3	3	6	2	5
3622	3568	2.40266464930461	2.52680587043025	2.18914639100408	1.38092842454411	1.82494671351755	1.93989505416279	2.16482671207991	2.98723619468321	2.4798842206875	1.55148358816463	3	3	2	3	6	5
3613	3581	1.06445168620963	0	2.61249877514228	2.28289909789925	0	0	2.36354615530287	0	1.6136363698388	1.54157554989543	2	1	5	5	4	4
3615	3581	0	2.03720834412049	0	1.03815197211271	1.12657515812671	0	0	0	2.78349238214033	2.19649797299643	2	1	5	5	4	4
3617	3581	2.41246929704467	0	2.53019763054524	0.865258101319894	1.51012362312767	1.99613062223332	0	1.78252004978282	0	2.32918012081155	2	4	5	5	3	7
3677	3582	0	1.12671648358809	2.6148974502141	1.25082368950135	0	1.29847059145455	1.23233173304207	0	1.18753874349321	0	1	1	5	4	1	4
3666	3622	2.12129809122219	1.61343635075346	1.94902175627521	0.944712502985668	0	0	0	0	2.36112213977205	2.05089001630598	1	4	3	4	3	2
3677	3622	0	0	2.11412629704333	2.54553074528386	1.10581813183725	1.86985723174773	1.75923295717587	0	1.08969605816606	0	3	4	4	1	1	2
3560	3668	0	0	2.54555539583296	0	0	0	0	0	2.50434884831854	2.12217102478888	2	2	5	5	4	4
3582	3688	0	1.52697334565712	2.09862176909077	0.703307264783932	0.763981572977817	0.743059537394426	0.736448830390698	2.38794465662565	0	0	3	3	1	5	1	1
3581	3690	1.15289417156826	1.45701711937621	0.978777411843024	1.0832977982611	1.58705784198014	0.518340851714718	2.51613989521924	0.523530173964216	1.96250996190707	1.7237909138699	3	3	3	1	2	5
3581	3694	2.1927690410295	1.46560623238384	0.979189422933818	1.88142842672501	2.18136283958294	0	2.34712932777758	2.73334171374387	0.376033548986986	2.0146936947462	3	3	3	2	2	2
3581	3696	0	1.4686207653395	0.977585784823076	1.89593999959069	2.40884001252426	0.494156278109774	1.08622333263599	2.90570326842785	0.956394151740698	0.368551668403439	3	2	4	1	7	1
3582	3696	1.49662196860092	0	2.77426306807683	0	0	0.721684664682581	0.70260291684308	0.68829288805386	1.50392356031869	1.36837322949182	2	1	5	4	4	4
3581	3697	1.15522200157142	1.01730344325421	2.24929688698145	1.54895586111	0.47987232439257	2.16757668025946	1.8861364161383	0.491270369959685	1.99685208713072	2.70925567579247	3	3	2	3	5	5
3582	3697	1.49569727578729	0	0	1.8604279900236	2.25021911779942	0.714175151805548	2.46346181451816	0	0	0.660220926099649	3	3	3	6	2	2
3622	3697	0.595300864273049	0.593685846588115	1.86747585908933	0	1.12682443937009	2.85535098020467	1.67115730377378	0.784777239994048	1.21979035018324	0.52869224224858	3	1	3	6	2	4
3746	3705	1.69334731138353	0	1.41252216385131	0.834142168722742	2.60128022855808	1.64784846423069	1.92142387025122	1.95180724178925	0	1.36680913355768	3	3	3	6	2	2
3729	3773	1.16333090232776	0	1.02953858117057	2.86910820128358	0	0	1.73625514011373	0	0	0	2	2	3	4	3	7
4098	4023	0	0	0	0	2.39631078799472	0	0	0	0	0	2	2	5	5	4	4
4034	4028	1.9115169828386	1.93462580244935	2.34645977923954	1.14531547450659	1.72221086067146	1.53437544597497	1.62533804299231	1.62280429977849	1.62308642854077	1.38921592033663	3	3	1	3	5	5
4036	4028	1.4320122349584	2.07935811687304	2.39866570713967	2.59603629405739	1.55913770991321	2.06960014772623	1.66722225909423	2.02517609146714	1.83756349962056	1.70473272925105	3	3	2	3	5	5
4044	4028	2.0168327025504	2.05047764858801	2.33573029561778	2.77231340026008	1.16616658792005	1.21199252796558	1.936581086777	2.3317243535177	1.35063051037586	0.343732538067979	3	3	2	3	5	1
4046	4028	0.589660240406223	0	1.11672472973105	1.19816600647938	0	1.49878316675034	2.38205854362404	1.61253766040371	1.75758037488082	1.3417660025169	1	4	3	2	2	3
4056	4102	2.39697061636209	1.57591844288849	1.46648289023757	0.738743688857395	0	2.43243365614259	0	1.87209090318782	1.79923983162035	0.684110758314305	2	2	3	4	3	7
4014	4108	0	0.958263393034323	2.73916828939445	0	0	0	0.986779024754407	2.07342219621749	0.859817562020598	1.44722886218946	2	2	5	4	4	4
4117	4152	0	2.05733896171118	0	0	1.04396217106321	0	1.63087786941844	2.36397939328091	2.27010986388669	0.897423878587519	2	1	5	5	4	4
4117	4231	0	2.31911564814098	0	0	0	0	0	0.863647035794025	0	0	2	1	5	5	4	4
4446	4326	0.87642478581589	1.62392767329657	1.77787068763171	1.84013432609811	0.896775842230779	0	0	0	0.893132704982568	2.40267193833676	1	3	1	4	3	7
4399	4376	1.06819611534582	0	1.82068564813119	0.522872601405459	2.16250744146043	1.90810532838844	0.669206773243111	0.662566374737022	2.49567088967754	2.32124351492147	3	3	3	6	2	2
